#Time : 17:45:26 03-11-2026
#File : ../data/cluster_one.csv
#Number_of_genes : 17857
#Program : Standard
#MAX_RUNS : 40000
#Interrupt_runs : 1000
#Num_Patterns : 3
#Distribution : 
#Total_error : 522.764
#Total_running_time : 0d0h53m27.952s
#"patternOne",12.9229 7.43294 2.37294 6.13294
#"",1.04278e-06       0.257    0.414577    0.316717
#"",2.09248e-06 2.86878e-06 2.56353e-06 9.27403e-06
row-0,3.5922e-07,2.74598e-05,0.0248355,3.79233e-05
row-1,2.80633e-05,0.000133435,0.102711,0.000943554
row-2,1.43863e-05,7.37936e-05,0.216742,0.019141
row-3,3.72039e-05,4.95325e-05,0.0462688,0.0011235
row-4,0.00168664,0.0464692,0.0039543,0.0413883
row-5,2.96148e-06,0.0164968,0.130478,0.0165775
row-6,1.82581e-05,0.000527029,0.133001,0.0120432
row-7,0.00171153,0.130084,0.134574,0.0215743
row-8,4.76691e-06,0.101334,0.025619,0.0452086
row-9,2.46908e-05,4.2328e-05,0.189028,0.0451181
row-10,9.22868e-06,1.05058e-05,0.014906,0.000276989
row-11,0.00830817,0.0519802,0.231424,0.0306718
row-12,1.38631e-05,3.36487e-05,0.131925,0.000435584
row-13,1.49193e-05,0.000103147,0.0641983,0.000533614
row-14,0.00180389,0.0815806,0.0556359,0.0479598
row-15,6.6466e-06,0.00019115,0.126248,0.000382865
row-16,0.00347496,4.65497e-05,0.118256,0.0272691
row-17,0.00167911,0.000194688,0.0823586,0.0253744
row-18,0.0126445,0.152677,0.225614,0.030876
row-19,0.00205905,0.0107867,0.142068,0.0313304
row-20,4.13069e-06,3.09692e-05,0.120111,0.000151843
row-21,6.42619e-06,1.12428e-05,0.0513183,0.000197444
row-22,0.00569778,0.129122,0.20312,0.0191684
row-23,1.66901e-06,0.000638118,0.108754,0.00821306
row-24,0.00266687,0.0472182,0.154572,0.0527477
row-25,0.00299463,0.0070063,0.0632955,0.0326021
row-26,0.00658861,0.230093,0.158908,0.0423118
row-27,0.00170605,0.00841829,0.275495,0.0195214
row-28,1.1541e-06,0.000133301,0.0473383,0.000165845
row-29,5.46618e-05,0.000245801,0.0090733,0.0309815
row-30,2.66064e-05,3.48877e-05,0.325859,0.000807859
row-31,0.0111429,0.185788,0.114598,0.0520912
row-32,0.00836561,0.146811,0.230943,0.0405873
row-33,8.78572e-07,4.22224e-05,0.158686,6.97511e-05
row-34,0.0101722,0.115417,0.0235725,0.0808481
row-35,1.83274e-05,9.65687e-05,0.0465667,0.000625183
row-36,1.1233e-05,8.51123e-05,0.0659439,0.000409427
row-37,0.00206908,0.0326905,0.149802,0.0708453
row-38,5.77844e-05,0.038398,0.145876,0.0215713
row-39,6.32182e-06,3.1864e-05,0.104366,0.000215703
row-40,0.0143102,0.243008,0.0386049,0.0417014
row-41,1.21396e-05,0.0407756,0.0700639,0.0208995
row-42,1.40372e-05,1.84161e-05,0.104394,0.000425092
row-43,9.94871e-06,6.84785e-05,0.0226951,0.000355195
row-44,2.19795e-05,0.0555013,0.0446061,0.0161016
row-45,0.0166891,0.0366503,0.0669174,0.0828263
row-46,2.67054e-05,0.102469,0.228085,0.0113445
row-47,0.00506369,0.067172,0.16186,0.0524513
row-48,6.82009e-07,0.000129436,0.154939,0.00399129
row-49,0.00169976,0.128367,0.0372362,0.0935656
row-50,0.00819078,0.221416,0.0350244,0.0576862
row-51,1.28142e-05,0.0198335,0.055546,0.0280259
row-52,2.67426e-05,0.263686,0.240747,0.0680384
row-53,0.0113288,0.344976,0.190369,0.0156443
row-54,2.28704e-05,1.06832e-05,0.0636532,0.000671707
row-55,2.33367e-05,9.40757e-06,0.162712,0.000685569
row-56,6.66791e-06,5.6577e-06,0.0537185,0.000198941
row-57,3.51962e-05,0.0679056,0.0376831,0.0278584
row-58,1.36166e-05,0.000147246,0.109391,0.000540358
row-59,1.88719e-07,6.11353e-05,0.190605,6.90684e-05
row-60,0.00842451,0.203866,0.123371,0.0193035
row-61,3.18426e-07,7.44496e-05,0.18776,8.59226e-05
row-62,2.35264e-06,4.91489e-05,0.229411,0.000120329
row-63,1.64171e-05,8.82499e-05,0.080358,0.0144628
row-64,2.30865e-05,3.96022e-05,0.0335742,0.000706018
row-65,0.00620901,0.211486,0.173851,0.0225046
row-66,2.39136e-06,5.35082e-07,0.0522563,7.04256e-05
row-67,8.53403e-06,0.0258207,0.0953558,0.0261431
row-68,7.72635e-06,1.10279e-05,0.0366213,0.00023451
row-69,0.0048385,6.01046e-05,0.0615365,0.0444605
row-70,0.00806062,0.000239097,0.00998104,0.126628
row-71,1.93099e-05,0.101471,0.0425469,0.0458663
row-72,0.00827171,0.309854,0.176493,0.0121285
row-73,6.37627e-06,6.55814e-06,0.119413,0.000192518
row-74,9.42861e-06,0.000552237,0.0310294,0.00781449
row-75,3.10311e-05,6.4854e-05,0.043461,0.000960436
row-76,2.19728e-06,4.93824e-05,0.0906679,0.000113745
row-77,6.95155e-06,5.8966e-05,0.188709,0.00026208
row-78,1.55788e-05,3.41008e-05,0.284891,0.000488118
row-79,3.46233e-06,3.67323e-05,0.0869159,0.000137691
row-80,1.19839e-05,3.40782e-05,0.0567303,0.000380508
row-81,2.35965e-05,0.247624,0.124314,0.0353615
row-82,0.00301311,0.0663074,0.184926,0.0231565
row-83,1.4788e-05,1.77419e-05,0.142552,0.000446735
row-84,1.33841e-06,9.64059e-05,0.140816,0.000136272
row-85,2.37737e-06,8.92523e-05,0.078454,0.00015814
row-86,0.00540472,0.000449392,0.182127,0.0601836
row-87,3.73059e-06,6.144e-05,0.149743,0.000170908
row-88,1.95413e-05,0.135525,0.0829324,0.0380443
row-89,1.39171e-05,0.0521221,0.108517,0.0155822
row-90,0.00756366,0.000759004,0.09117,0.072976
row-91,5.11763e-06,6.14145e-06,0.163519,0.00015652
row-92,3.23272e-06,6.94051e-05,0.0583961,0.000162876
row-93,3.37024e-05,0.000131065,0.199132,0.00412798
row-94,0.0095001,0.28043,0.166192,0.121744
row-95,0.0432565,0.572726,0.201762,0.225941
row-96,8.82831e-06,5.00207e-06,0.0380902,0.000260384
row-97,8.37094e-06,9.92884e-05,0.192965,0.000342968
row-98,0.00172856,0.0152469,0.336025,0.03569
row-99,4.40143e-06,8.52899e-05,0.0160635,0.0251518
row-100,6.88365e-06,6.05409e-05,0.0326542,0.000259055
row-101,2.42951e-05,5.48877e-06,0.0133782,0.000706847
row-102,9.58516e-06,5.34106e-05,0.101724,0.000331139
row-103,0.0108272,0.0292369,0.0650164,0.0986974
row-104,1.12592e-06,1.88699e-05,0.0304071,5.16559e-05
row-105,0.00434884,0.000347552,0.198525,0.0471744
row-106,9.21207e-06,0.000137984,0.192528,0.00040548
row-107,1.69957e-05,0.0188266,0.128638,0.0405927
row-108,0.00427909,0.000173917,0.0486504,0.0511606
row-109,1.29097e-05,5.73366e-05,0.264661,0.00951114
row-110,0.00289556,0.0443234,0.00122139,0.0457888
row-111,0.00404768,0.000347411,0.0274484,0.0438691
row-112,4.33403e-06,0.0188171,0.176942,0.0163372
row-113,0.00499359,0.0872413,0.130551,0.0762387
row-114,0.00266225,0.00399531,0.133127,0.0255409
row-115,2.7069e-05,0.00766656,0.224992,0.0604572
row-116,5.69135e-05,5.3863e-05,0.0727097,0.0163356
row-117,7.60483e-07,3.86286e-06,0.143724,2.81809e-05
row-118,6.64658e-06,9.271e-06,0.0172296,0.000201284
row-119,0.0128744,0.379838,0.00323606,0.0275165
row-120,1.57215e-05,0.000150133,0.0669295,0.00060325
row-121,2.8485e-05,4.58627e-05,0.0328782,0.000868005
row-122,4.92197e-05,0.00022661,0.144109,0.0137558
row-123,1.47692e-05,9.04587e-05,0.0642404,0.000516743
row-124,0.00292582,0.151405,0.0967921,0.0687373
row-125,2.76744e-06,2.10786e-05,0.0230572,0.00496259
row-126,0.0145513,0.190695,0.113025,0.0879116
row-127,1.43871e-05,6.97126e-05,0.00600853,0.000484236
row-128,1.69624e-06,3.00033e-05,0.125561,8.07178e-05
row-129,2.30389e-07,7.31468e-06,0.163549,1.66259e-05
row-130,3.01107e-06,0.0365654,0.0882986,0.0320121
row-131,2.06214e-05,0.0790905,0.051135,0.0197198
row-132,2.81264e-07,1.98845e-05,0.0786541,0.0126401
row-133,1.41253e-05,0.000757587,0.0428734,0.0117079
row-134,1.61545e-05,2.01707e-06,0.122754,0.000470303
row-135,0.0154068,8.69271e-05,0.0720243,0.14064
row-136,1.1629e-05,4.18901e-05,0.237233,0.000381018
row-137,2.82208e-06,1.89452e-05,0.0204216,0.000100517
row-138,0.0106305,0.00020149,0.0396154,0.131011
row-139,0.00295551,0.0336644,0.115279,0.045355
row-140,3.87632e-05,0.109695,0.116158,0.0214534
row-141,4.45385e-06,0.000182822,0.0381978,0.00030987
row-142,1.40935e-05,0.0184589,0.1051,0.0133026
row-143,2.82551e-06,6.16895e-05,0.0747313,0.000143772
row-144,6.94005e-06,0.107343,0.0596251,0.0857954
row-145,0.0026489,0.0235038,0.154043,0.0120846
row-146,4.62737e-07,6.90805e-06,0.109333,2.20192e-05
row-147,1.9276e-05,0.0587452,0.0914593,0.0210957
row-148,5.99526e-06,6.38793e-05,0.12474,0.000238261
row-149,1.18396e-05,0.025371,0.050283,0.0305499
row-150,1.63026e-06,0.045114,0.041467,0.0431809
row-151,1.74263e-06,6.51295e-05,0.04053,0.000115343
row-152,0.00577485,2.01914e-05,0.232495,0.0555901
