cluster,gene,rank,score,method,direction
clusterThree,SLC25A30,100,0.0041380114398642245,rawMAE,min
clusterThree,LINC02352,101,0.004141417558819901,rawMAE,min
clusterThree,USP51,102,0.00416152529002885,rawMAE,min
clusterThree,AC006064.4,103,0.004195496653854551,rawMAE,min
clusterThree,KPTN,104,0.004225960330092876,rawMAE,min
clusterThree,AP001816.1,105,0.004231329875223801,rawMAE,min
clusterThree,LIMS2,106,0.004231776157778302,rawMAE,min
clusterThree,RLN2,107,0.004242288448857873,rawMAE,min
clusterThree,CACNB1,108,0.00425072456250185,rawMAE,min
clusterThree,DPY19L3,109,0.0042551448456138756,rawMAE,min
clusterThree,AC004797.1,110,0.004280484940746426,rawMAE,min
clusterThree,VWA5A,111,0.004309035520665452,rawMAE,min
clusterThree,MRPL30,112,0.00432879886022315,rawMAE,min
clusterThree,AC253572.2,113,0.004334916458951174,rawMAE,min
clusterThree,ZNF628,114,0.004343407143245551,rawMAE,min
clusterThree,SLC24A1,115,0.004360889297663,rawMAE,min
clusterThree,PAX8,116,0.0043639041049527,rawMAE,min
clusterThree,Z83843.1,117,0.004374078752948625,rawMAE,min
clusterThree,C7orf25,118,0.004399968364480726,rawMAE,min
clusterThree,GAS6-AS1,119,0.004402473558692425,rawMAE,min
clusterThree,TSPAN10,120,0.004406158830871876,rawMAE,min
clusterThree,CUBN,121,0.004410434918352199,rawMAE,min
clusterThree,TNKS1BP1,122,0.004417266283047501,rawMAE,min
clusterThree,CHML,123,0.004436443682133899,rawMAE,min
clusterThree,AC087500.1,124,0.004467099216497225,rawMAE,min
clusterThree,RPP40,125,0.004475346728918924,rawMAE,min
clusterThree,AL356599.1,126,0.004499879500313975,rawMAE,min
clusterThree,TSPAN15,127,0.004511109822480126,rawMAE,min
clusterThree,AC078785.1,128,0.0045180750905509,rawMAE,min
clusterThree,LINC00672,129,0.004546605662294775,rawMAE,min
clusterThree,ASPHD2,130,0.004575751943480299,rawMAE,min
clusterThree,WHRN,131,0.00457766001204115,rawMAE,min
clusterThree,LINC00115,132,0.004578695463828225,rawMAE,min
clusterThree,GM2A,133,0.0045917433133719245,rawMAE,min
clusterThree,KTN1-AS1,134,0.004602441186190876,rawMAE,min
clusterThree,ZNF781,135,0.004616350808798625,rawMAE,min
clusterThree,IQCE,136,0.004631695346765824,rawMAE,min
clusterThree,AC008875.2,137,0.004633856197861074,rawMAE,min
clusterThree,ZNF668,138,0.0046620815714722,rawMAE,min
clusterThree,AC073254.1,139,0.0046634894619423505,rawMAE,min
clusterThree,KNTC1,140,0.004669029344615001,rawMAE,min
clusterThree,GAS2,141,0.004670219776391874,rawMAE,min
clusterThree,ZNF527,142,0.004674476004974273,rawMAE,min
clusterThree,ZFP37,143,0.004678109062150126,rawMAE,min
clusterThree,ZNF485,144,0.004688884259318525,rawMAE,min
